x,y,t
723,1271,1367366400
360,1271,1366848000
1103,1271,1367280000
1045,1271,1366848000
66,1271,1366761600
932,1271,1366848000
168,1271,1369440000
1049,1271,1368144000
322,1271,1375056000
80,1271,1367020800
1152,1271,1366675200
140,1271,1366934400
959,1271,1383091200
10,1271,1366848000
666,1271,1367020800
148,1271,1366761600
1163,1271,1369699200
1218,1271,1373500800
1137,1271,1367625600
1131,1271,1366848000
1169,1271,1374278400
107,1271,1366848000
825,1271,1367107200
662,1271,1366675200
949,1271,1366675200
619,1271,1366761600
1145,1271,1366848000
573,1271,1366848000
1259,1271,1366934400
1228,1271,1366848000
667,1271,1368144000
1161,1271,1370476800
588,1271,1367798400
253,1271,1367712000
96,1271,1366675200
692,1271,1384905600
805,1271,1367625600
719,1271,1367798400
936,1271,1366934400
381,1271,1366675200
470,1271,1386979200
496,1271,1376611200
1200,1271,1367280000
56,1271,1367884800
624,1271,1368662400
583,1271,1367107200
740,1271,1366848000
300,1271,1369526400
16,1271,1368403200
922,1271,1391990400
992,1271,1367366400
606,1271,1366761600
1138,1271,1367107200
511,1271,1376006400
185,1271,1367193600
580,1271,1366761600
419,1271,1383091200
829,1271,1373673600
515,1271,1367884800
854,1271,1402531200
947,1271,1373241600
1236,1271,1366848000
197,1271,1366761600
250,1271,1386979200
170,1271,1369094400
191,1271,1366761600
720,1271,1366848000
522,1271,1367971200
843,1271,1367193600
1144,353,1362873600
122,353,1360022400
689,353,1387065600
810,353,1386288000
69,353,1384300800
484,353,1386806400
764,353,1378339200
76,353,1347667200
1086,353,1373241600
112,353,1349654400
66,353,1351468800
926,353,1403222400
400,353,1368921600
258,353,1394323200
475,353,1358380800
1203,353,1375747200
690,353,1390953600
932,353,1360195200
399,353,1381968000
915,353,1358553600
994,353,1347235200
691,353,1402790400
305,353,1347580800
234,353,1347062400
986,353,1357776000
436,353,1373068800
997,353,1356393600
1065,353,1347580800
402,353,1359072000
140,353,1347148800
959,353,1383609600
844,353,1389398400
527,353,1386547200
180,353,1368835200
91,353,1349740800
833,353,1379289600
389,353,1353974400
1273,353,1348963200
988,353,1357948800
178,353,1360368000
1131,353,1373068800
138,353,1369180800
394,353,1351987200
468,353,1372032000
1259,353,1347840000
1055,353,1378598400
1161,353,1347148800
639,353,1350432000
1098,353,1374364800
495,353,1347494400
552,353,1392595200
786,353,1375056000
1241,353,1377388800
404,353,1354320000
1231,353,1387324800
804,353,1372809600
891,353,1360108800
782,353,1369353600
605,353,1347667200
173,353,1364169600
253,353,1385510400
96,353,1347062400
431,353,1348358400
896,353,1360800000
636,353,1369526400
971,353,1348272000
141,353,1357344000
938,353,1385856000
621,353,1358553600
315,353,1350172800
75,353,1347321600
936,353,1350432000
344,353,1374105600
876,353,1400803200
906,353,1386979200
326,353,1388361600
919,353,1353456000
437,353,1375142400
697,353,1346803200
624,353,1356739200
302,353,1357948800
541,353,1348704000
252,353,1354060800
405,353,1347494400
318,353,1347148800
952,353,1348790400
970,353,1373241600
300,353,1347148800
293,353,1399507200
982,353,1357084800
726,353,1356480000
1165,353,1358640000
1053,353,1380067200
992,353,1346803200
356,353,1349308800
347,353,1385164800
606,353,1356912000
276,353,1347494400
954,353,1357257600
1234,353,1363824000
333,353,1347321600
206,353,1348531200
81,353,1388016000
741,353,1390348800
935,353,1367971200
829,353,1348617600
114,353,1359590400
968,353,1379808000
549,353,1356307200
1269,353,1386892800
281,353,1368748800
806,353,1371772800
995,353,1376697600
852,353,1348272000
1274,353,1372204800
197,353,1347408000
98,353,1347408000
817,353,1367539200
1189,353,1348185600
218,353,1369785600
1020,353,1347062400
522,353,1348444800
584,353,1358553600
275,353,1388361600
417,353,1373587200
567,353,1371600000
227,353,1367107200
167,353,1355356800
790,353,1377302400
985,353,1358467200
232,353,1373846400
365,539,1389139200
723,539,1355788800
1202,539,1365033600
1086,539,1373241600
689,539,1386806400
76,539,1372809600
774,539,1388793600
66,539,1357948800
1203,539,1375747200
859,539,1355184000
932,539,1360800000
168,539,1355529600
399,539,1378166400
77,539,1356566400
994,539,1355356800
911,539,1356652800
313,539,1362873600
140,539,1355443200
91,539,1355443200
833,539,1389916800
510,539,1355270400
700,539,1397260800
1157,539,1355270400
662,539,1355443200
1259,539,1355356800
667,539,1380931200
702,539,1358380800
1055,539,1388620800
1161,539,1355270400
