x,y
35481,7691
35481,11123
35481,13593
35481,14717
35481,18547
35481,18797
35481,21047
35481,24046
35481,26054
35481,28432
35481,31074
35481,31519
35481,39363
35481,39744
35481,40215
35481,43763
35481,46034
35481,46124
35481,61615
35481,66338
35481,67677
35481,71507
35481,73729
35481,74350
35481,75084
35481,77324
35481,91910
35481,95534
35481,97516
35481,110659
35481,112848
35481,125678
35481,134360
35481,154161
35481,168916
35481,174083
35481,203738
35481,267197
35481,320905
35481,320906
35481,320907
323356,2488
323356,7344
323356,28215
323356,32952
323356,41537
323356,43784
323356,53062
323356,56493
323356,72133
323356,75361
323356,85941
323356,103979
323356,116360
323356,195654
323356,209954
323356,214953
323356,219452
323356,219857
323356,227877
323356,242903
323356,255491
323356,262520
323356,271908
323356,271909
323356,275900
323356,289806
323356,289807
323356,303482
323356,318399
323356,318400
323356,323353
323356,323354
323356,323355
323356,323357
323356,323358
323356,328299
323356,328300
323356,328301
323356,328302
323356,328303
323356,328304
323356,336906
210782,6980
210782,8889
210782,11552
210782,22159
210782,34053
210782,35196
210782,48463
210782,53039
210782,56036
210782,64021
210782,64910
210782,94501
210782,128657
210782,132735
210782,174220
210782,207190
210782,207191
210782,210451
210782,210783
210782,210784
210782,210785
210785,6980
210785,8889
210785,11552
210785,22159
210785,34053
210785,35196
210785,48463
210785,53039
210785,56036
210785,64021
210785,64910
210785,94501
210785,128657
210785,132735
210785,174220
210785,207190
210785,207191
210785,210451
210785,210783
210785,210784
38700,1442
38700,11457
38700,19114
38700,27925
38700,28290
38700,29515
38700,30925
38700,34877
38700,35249
38700,36407
38700,36799
38700,37174
38700,38546
38700,38868
38700,39726
38700,41990
38700,42857
38700,44544
38700,44646
38700,45479
38700,46911
38700,57571
38700,64673
38700,68391
38700,88766
38700,97422
38700,97423
38700,97424
38700,103632
32707,2571
32707,2962
32707,3673
32707,6433
32707,9812
32707,11123
32707,11255
32707,13451
32707,15365
32707,15737
32707,15760
32707,17501
32707,18741
32707,20696
32707,21250
32707,23574
32707,24074
32707,25347
32707,26613
32707,26626
32707,26970
32707,27264
32707,27777
32707,32708
32707,35239
32707,41815
32707,41825
32707,49190
32707,67140
32707,77813
32707,86463
32707,92634
318735,75711
318735,121930
318735,230589
318735,257613
318735,257636
318735,285677
318735,318730
318735,318731
318735,318732
318735,318733
318735,318734
318735,318736
318735,318737
318735,318738
318735,318739
318735,318740
318735,318741
318735,318742
318735,318743
318735,318744
318735,318745
318735,318746
318735,318747
318735,318748
318735,319326
318735,319327
318735,319328
318735,321079
318735,321080
318735,359433
318735,361943
318735,379732
314960,46988
314960,80949
314960,109015
314960,122485
314960,202540
314960,229668
314960,235977
314960,236500
314960,295635
314960,322249
314960,322250
314960,322251
314960,322252
314960,322253
314960,322254
314960,322255
314960,322256
314960,322257
314960,322258
314960,322259
314960,327126
314960,327127
314960,327128
314960,327129
314960,327130
314960,327131
314960,350578
314960,355056
122008,72729
122008,75389
122008,84439
122008,99769
122008,106951
122008,122009
122008,124529
122008,127910
122008,127913
122008,127914
122008,127995
122008,128040
122008,128041
122008,128042
122008,128043
122008,128044
122008,128045
122008,128046
122008,128047
122008,128048
122008,128049
122008,128052
122008,128054
122008,128056
122008,128059
122008,128063
122008,128064
122008,136437
122008,136439
113659,6760
113659,24838
113659,38812
113659,40267
113659,40834
113659,51922
113659,58419
113659,60090
113659,66539
113659,69524
113659,75429
113659,81477
113659,96017
113659,112649
113659,112650
113659,119366
113659,120220
113659,122686
113659,130772
113659,143123
113659,146401
113659,149958
113659,151418
113659,151669
113659,157220
113659,158636
113659,161860
113659,166279
113659,170843
113659,183564
113659,184373
113659,184374
113659,197432
113659,207114
113659,208268
113659,208270
113659,229637
113659,229638
113659,229639
113659,229640
113659,229641
113659,229642
113659,229643
113659,230952
113659,231805
113659,235546
113659,235547
113659,235548
202071,41549
202071,54232
202071,56290
202071,65311
202071,65720
202071,84411
202071,87687
202071,88989
202071,93483
202071,95008
202071,108201
202071,130303
202071,156355
202071,156591
202071,187410
202071,198976
202071,206374
202071,230268
202071,236390
202071,250426
202071,250734
202071,257699
202071,259597
202071,259598
202071,297968
202071,320932
202071,320933
202071,320934
202071,320935
202071,320936
202071,320937
202071,320938
202071,324065
202071,324066
305251,12300
305251,32534
305251,37572
305251,38868
305251,42671
305251,43377
305251,45479
305251,69054
305251,82316
305251,84657
305251,109825
305251,114575
305251,114816
305251,117657
305251,119707
305251,137772
305251,142571
305251,148255
305251,179483
305251,181479
305251,193978
305251,199804
305251,205395
305251,219725
305251,238123
305251,252413
305251,256807
305251,269413
305251,274748
305251,275945
305251,279245
305251,283362
305251,283981
305251,287674
305251,287845
305251,298337
305251,305407
305251,305408
305251,308275
305251,319357
305251,319822
305251,319824
305251,319826
