x,y,t
2011,896,1258912792
2011,1459,1258944288
2011,806,1367272695
2011,382,1259177151
2011,935,1276342823
2011,763,1430773791
2011,812,1259443416
2011,380,1261421075
2011,1450,1261451694
2011,2954,1264903141
2011,6101,1308188872
2011,1946,1276323425
2011,5860,1276324241
2011,1636,1276557009
2011,5484,1276327113
2011,7311,1278374326
2011,8755,1284124029
2011,613,1296270239
2011,6766,1276354510
2011,3659,1284419048
2011,3684,1313648986
2011,7486,1284470290
2011,9199,1284517494
2011,4661,1302567019
2011,6415,1284688952
2011,8955,1284732562
2011,8588,1284712541
2011,8794,1290709962
2011,9062,1285279122
2011,9486,1285361880
2011,8799,1316295673
2011,5371,1288485334
2011,2622,1428705431
2011,12120,1306184110
2011,11108,1295407683
2011,11716,1296336202
2011,1131,1353917071
2011,14551,1304210982
2011,3983,1315869004
2011,1898,1411011522
2011,9022,1307000686
2011,4345,1308148496
2011,14740,1308117573
2011,8776,1308338605
2011,9025,1313650046
2011,238,1313680404
2011,2290,1320782054
2011,1508,1320786874
2011,14830,1326413304
2011,15506,1351093961
2011,8430,1374765743
2011,39117,1377501549
2011,3651,1428419501
2011,1811,1428472316
2011,41258,1441551136
2011,2554,1264819142
2011,1708,1264828022
2011,802,1296269854
2011,3948,1288369270
2011,1409,1276323357
2011,83,1276323635
2011,2000,1276325246
2011,121,1276329891
2011,5627,1276352380
2011,7934,1288389851
2011,3324,1284179529
2011,302,1284197750
2011,4213,1284400957
2011,2384,1284414331
2011,297,1284414881
2011,8798,1284563845
2011,4600,1286719470
2011,3503,1286719913
2011,35416,1286726383
2011,6647,1320785913
2011,9355,1287085156
2011,5810,1288358681
2011,6085,1290352887
2011,1847,1295318679
2011,1345,1295326991
2011,12898,1298528767
2011,12088,1301935490
2011,454,1304280329
2011,13263,1304284794
2011,353,1306981501
2011,1441,1307399124
2011,9652,1308232777
2011,5340,1309722582
2011,5784,1313613504
2011,10265,1313703976
2011,11142,1315863294
2011,6360,1316318957
2011,11825,1316721029
2011,4767,1320773612
2011,6451,1320786059
2011,6953,1335045040
2011,14915,1367216384
2011,5100,1386281596
2011,13650,1411010589
2011,44931,1418444132
1231,942,1256725951
1231,1,1258791528
1231,943,1282873447
1231,1547,1259891119
1231,2389,1260771316
1231,1353,1271384312
1231,1084,1267030339
1231,3753,1268704006
1231,1291,1269479262
1231,83,1270687331
1231,4528,1273892950
1231,4344,1273279800
1231,4790,1273113231
1231,7437,1280969520
1231,35336,1282807560
1231,4046,1286565864
1231,1450,1286596773
1231,509,1309397675
1231,3521,1327643505
1231,121,1330025584
1231,10076,1329412972
1231,16857,1330101964
1231,10446,1342765112
1231,4096,1346349119
1231,382,1392369026
1231,62675,1399532571
1231,9025,1399535278
1231,9840,1399536804
1231,19276,1424871215
1231,6355,1448066111
1231,3548,1264583744
1231,828,1267044782
1231,394,1267086279
1231,1310,1268705658
1231,360,1269478739
1231,5338,1271209045
1231,1149,1272697692
1231,1409,1273763741
1231,7361,1278420341
1231,4086,1279162523
1231,3324,1282797658
1231,8176,1282800043
1231,4707,1286543529
1231,2857,1289711686
1231,4144,1329206582
1231,14835,1304342352
1231,12166,1329193120
1231,2349,1329194037
1231,290,1329216775
1231,348,1329220423
1231,6522,1346275182
1231,6481,1351176334
1231,14514,1391572249
1231,7206,1424853551
1231,25590,1425724812
1231,62810,1429396751
4106,1847,1320466481
4106,7001,1283528378
4106,3684,1283508251
4106,1459,1302178236
4106,8410,1287051759
4106,556,1287286899
4106,9422,1291092045
4106,440,1294722161
4106,942,1314059886
4106,7813,1372883858
4106,8075,1283984501
4106,398,1284152344
4106,7934,1304441334
4106,766,1284863989
4106,8008,1286576056
4106,4757,1287023325
4106,3948,1287024188
4106,9501,1287027287
4106,2024,1287213014
4106,763,1302596921
4106,2841,1303279759
4106,7458,1325195777
25477,7341,1403763869
25477,4807,1399820730
25477,48084,1439404846
25477,75,1442703070
25477,437,1446950158
25477,644,1445910201
25477,24309,1405099591
25477,20343,1410574764
25477,2841,1410574826
25477,62810,1439404030
25477,20507,1439407462
25477,360,1444125042
25477,11640,1444163981
25477,2273,1444192494
18119,1508,1317628449
18119,15642,1317805440
18119,17901,1322868954
18119,7666,1322850642
18119,3521,1333400963
18119,519,1317764203
18119,9871,1322617508
18119,3759,1322690025
18119,2841,1332447005
18119,8726,1322713292
18119,5659,1322866898
18119,7399,1333496139
6348,3108,1274982399
6348,4692,1275329361
6348,6742,1276270817
6348,8736,1285112280
6348,5094,1331095668
6348,2841,1355339416
6348,9534,1287453836
6348,605,1290194614
6348,4721,1309447179
6348,9035,1291312617
6348,9379,1291426590
6348,5587,1292104820
6348,2807,1292543174
6348,299,1338506046
6348,344,1293517957
6348,10909,1295631936
6348,360,1296087141
6348,6936,1394165511
6348,12198,1298491584
6348,8430,1302131280
6348,9449,1303921019
6348,3544,1308676944
6348,16876,1313731588
6348,450,1337733199
6348,18355,1318027757
6348,14385,1320694403
6348,3993,1320694690
6348,21523,1331060903
6348,22131,1332540542
6348,13441,1350023383
6348,21136,1352915290
6348,21029,1356767354
6348,3521,1372369059
6348,25854,1356639904
6348,5738,1363797305
6348,22481,1365026971
6348,50973,1371832534
6348,36931,1394200769
6348,29316,1386808365
6348,29730,1394229516
6348,5714,1394156585
6348,66,1399484479
6348,402,1421374155
6348,24965,1426920806
6348,40023,1452276282
6348,2095,1452557206
6348,2833,1342045778
6348,5740,1275389622
6348,3684,1275390095
6348,4144,1285185303
6348,4428,1353008605
6348,10106,1289346025
6348,1993,1289593418
6348,1149,1290194739
6348,956,1290656914
6348,1353,1295552019
6348,2618,1291226867
6348,8212,1291943924
6348,451,1292033612
6348,2874,1292540964
6348,83,1292610133
6348,9919,1294269983
6348,3199,1294991548
6348,5731,1297878016
6348,3759,1297985867
6348,4659,1298487555
6348,1657,1298488306
6348,2530,1298752128
6348,1851,1300213605
6348,11176,1300313655
6348,1465,1300903059
6348,733,1301075738
6348,11395,1361297234
6348,10368,1308198048
6348,7666,1317162987
6348,9317,1317205478
6348,15630,1318001774
6348,5516,1318024883
6348,2035,1318014542
6348,454,1318031679
6348,11661,1318648436
6348,15735,1320702351
6348,17988,1321043187
6348,6545,1327425102
6348,10194,1330370957
6348,10076,1332370006
6348,22337,1332540810
6348,10941,1333924318
6348,1409,1341612749
6348,16943,1350030273
6348,11540,1353033800
6348,582,1356773126
6348,310,1360087117
6348,30379,1360928421
6348,10503,1364086319
6348,30916,1364237804
6348,3384,1365027903
6348,121,1365762500
6348,78,1371592690
6348,7732,1386957344
6348,3847,1387214935
6348,840,1388813146
6348,2503,1394157920
6348,43054,1394193714
6348,10366,1399485666
6348,45,1401147435
6348,40297,1423525147
6348,11417,1446064096
6348,930,1456702183
8092,6085,1280716832
8092,5371,1280716890
8092,8112,1280808178
8092,1587,1280816373
8092,4753,1328934988
8092,14915,1328943428
8092,3106,1328945144
8092,1946,1328949508
8092,23141,1393225875
8092,7392,1280810961
36922,36938,1373850381
36922,35615,1374212231
36922,30827,1379738179
36922,2664,1382500121
36922,4428,1382991745
36922,11540,1384657285
36922,10941,1385626186
36922,29980,1385661371
36922,75,1385662859
36922,290,1385662592
36922,1649,1385687295
36922,29730,1386237172
36922,1176,1373721738
36922,11640,1381091616
36922,2841,1381033724
36922,38783,1379839278
36922,4177,1381069532
36922,4528,1381127283
36922,381,1382572414
36922,39640,1383202624
36922,13647,1383811385
36922,7399,1384198185
36922,12166,1385212865
36922,3901,1384659349
36922,43076,1385068370
36922,2039,1385770761
36922,3521,1386409906
36922,43198,1389340479
36922,31233,1424296861
64529,23444,1420270137
64529,11260,1420270470
64529,6094,1420269110
64529,34671,1432343486
64529,11966,1420189654
64529,3324,1420194759
64529,14450,1420190526
64529,763,1420350476
64529,2926,1420282514
64529,3711,1420210226
64529,25510,1420215049
64529,3106,1420242747
64529,25028,1420247659
64529,44143,1420249764
64529,38624,1420253637
64529,10035,1420261814
64529,22971,1420285879
64529,16888,1420322931
64529,93,1420473348
2625,431,1261078299
2625,2191,1261113242
2625,23571,1261346487
2625,350,1268880770
2625,1573,1261363205
2625,1409,1269388567
2625,360,1268713278
2625,3041,1268943165
2625,45,1268764109
2625,733,1284048604
2625,4528,1268896261
2625,36108,1268939612
2625,3811,1268942310
2625,3701,1268943301
2625,1044,1268943355
2625,4144,1289195966
2625,3272,1288301884
2625,290,1288306671
2625,1233,1268961468
2625,622,1269386266
2625,2874,1269370415
2625,35833,1269450208
2625,450,1288968234
2625,2841,1289960464
2625,1189,1270337454
2625,613,1270345083
2625,381,1273879155
2625,1698,1277687377
2625,6666,1298087973
2625,49,1277634244
2625,4042,1284017598
2625,3901,1284024828
2625,1450,1288583414
2625,402,1288640881
2625,9015,1288750221
2625,750,1289285591
2625,10076,1289196246
2625,2926,1301042496
2625,1106,1298070978
2625,9449,1289274387
2625,1149,1289350954
2625,10696,1289364511
2625,3637,1289353167
2625,10862,1290178612
2625,4008,1291946592
2625,32,1301033079
2625,8604,1295740404
2625,8103,1298052680
2625,4183,1298060742
2625,12166,1298104995
2625,3634,1298611824
2625,8032,1299308182
2625,9928,1290544045
2625,13113,1442476836
2625,437,1265399530
2625,3503,1265689682
2625,828,1268765321
2625,644,1268780089
2625,1246,1268898623
2625,3948,1268939635
2625,1353,1288790112
2625,66,1269300253
2625,4351,1269372898
2625,1851,1269373508
2625,297,1269375724
2625,2196,1275346021
2625,4177,1288243914
2625,916,1288748866
2625,4794,1289168890
2625,3485,1288932329
2625,2653,1289353991
2625,4231,1291965127
2625,3711,1298061870
2625,4707,1298059895
2625,10368,1301039048
2625,121,1301066731
2625,2362,1337443493
6670,7144,1277843376
6670,3040,1278583507
6670,2095,1278634637
6670,6986,1287920405
6670,2841,1303251570
6670,2555,1313370719
6670,29973,1359532481
6670,5740,1277813433
6670,4040,1277816760
6670,391,1299665824
6670,22,1278629378
6670,23571,1278631455
6670,2874,1278638078
6670,2356,1289372315
6670,477,1289862236
6670,750,1291031547
6670,2503,1299637461
6670,935,1299638225
6670,4053,1299638474
6670,1409,1329494482
6670,7313,1326330726
6670,3901,1329645384
6670,12310,1337733645
6670,8473,1343416702
6670,1261,1375806251
5395,4790,1271787877
5395,2083,1271787776
5395,622,1271925922
5395,1149,1271927737
5395,4008,1271935533
5395,4428,1272412874
5395,2036,1280269261
5395,7031,1280269450
5395,6716,1280352851
5395,7460,1280270747
5395,2273,1280283084
5395,4716,1281464599
5395,360,1271403467
5395,2356,1271394661
5395,4721,1271722590
5395,4144,1271725090
5395,391,1271888988
5395,5094,1272152366
5395,121,1280296250
5395,4707,1299811458
2893,799,1419469305
2893,802,1289514436
2893,4177,1442844819
2893,8176,1289486357
2893,430,1297172446
2893,1478,1290400848
2893,4008,1367892827
2893,6486,1290904525
2893,11552,1371781052
2893,11286,1302532380
2893,12898,1302543246
2893,250,1307536441
2893,10366,1395691476
2893,6756,1310769031
2893,3106,1357962904
2893,9161,1319865797
2893,7631,1357713161
2893,26674,1362801041
2893,344,1367922169
2893,1657,1369036815
2893,15934,1442771002
2893,10400,1379007877
2893,3755,1371470344
2893,38236,1376337389
2893,3711,1376344418
2893,24965,1379015438
2893,66,1379074713
2893,10854,1383170141
2893,17836,1384616464
2893,4423,1423628491
2893,10744,1395818065
2893,121,1399380633
2893,20595,1402370031
2893,18060,1430527365
2893,3545,1457168450
2893,17787,1416947971
2893,4231,1417833819
2893,290,1430527493
2893,66195,1423723531
2893,454,1424422751
2893,43266,1424437082
2893,1345,1430527711
2893,39552,1430550042
2893,23829,1442520469
2893,1098,1430783930
2893,35626,1433634421
2893,75735,1436151795
2893,1826,1436451589
2893,7709,1440192892
2893,65,1440671549
2893,11260,1440782447
2893,32389,1440712959
2893,4037,1442394834
2893,1946,1442397009
2893,41291,1442683822
2893,11100,1455241989
2893,468,1442741685
2893,11142,1442790604
2893,68305,1442803051
2893,23571,1442823021
2893,1310,1442839946
2893,17773,1448526463
2893,1847,1448528249
2893,7699,1448927032
2893,4721,1449749969
2893,1463,1430527378
2893,56938,1454926421
2893,3324,1289313381
2893,2294,1289323631
2893,4790,1290878633
2893,35416,1290878896
2893,1384,1290889720
2893,2926,1443192587
2893,6753,1296989603
2893,11081,1297086731
2893,763,1368971971
2893,4661,1303338164
2893,3931,1302564228
2893,447,1302622061
2893,2349,1307645996
2893,4701,1307539525
2893,2218,1307542193
2893,12166,1307557046
2893,78,1369048956
2893,297,1449742113
2893,4720,1310728104
2893,2384,1310728461
2893,14830,1454582785
2893,3684,1386573058
2893,1898,1310738389
2893,6043,1310764627
2893,2672,1310775425
2893,13650,1310797023
2893,12178,1444097309
2893,2841,1357755401
2893,6085,1368952456
2893,9025,1357974935
2893,8508,1357982388
2893,9072,1368953181
